layer,concept,feature_id,train_auroc,auroc,f1,threshold,activation_rate_pos,activation_rate_neg,mean_activation_pos,mean_activation_neg
4,code,10278,0.976707175925926,0.9375,0.9333333333333333,1.2032791376113892,0.9583333333333334,0.034722222222222224,4.418388843536377,0.030000614002346992
4,code,11926,0.9542824074074076,0.9921875,0.8,1.0957155227661133,1.0,0.2013888888888889,1.5629621744155884,0.22529734671115875
4,code,27791,0.9291087962962963,0.8723958333333333,0.8,1.0524113178253174,0.875,0.041666666666666664,1.898432731628418,0.05590388551354408
4,code,29561,0.884837962962963,0.8177083333333334,0.5714285714285714,1.3156297206878662,0.8333333333333334,0.125,1.962118148803711,0.17066437005996704
4,code,18816,0.8741319444444445,0.9283854166666666,0.7142857142857143,0.7793814539909363,0.75,0.006944444444444444,1.9922385215759277,0.004447112791240215
4,code,31437,0.8706597222222223,0.9739583333333333,0.625,1.333459496498108,0.8333333333333334,0.1875,1.5057710409164429,0.21102415025234222
4,code,28082,0.8706597222222222,0.8932291666666666,0.5384615384615384,1.374173879623413,1.0,0.6944444444444444,1.520123839378357,0.7452407479286194
4,code,7545,0.8687789351851852,0.6119791666666666,0.2857142857142857,1.5763466358184814,0.9583333333333334,0.3125,1.9268847703933716,0.47133922576904297
4,code,10853,0.8547453703703703,0.8411458333333334,0.6,0.7539695501327515,0.7916666666666666,0.1388888888888889,1.172544002532959,0.13423246145248413
4,code,15227,0.8385416666666667,0.9505208333333334,0.5882352941176471,4.197094440460205,1.0,0.9375,3.888805627822876,2.461097478866577
4,code,16398,0.8378182870370372,1.0,1.0,0.49933016300201416,0.7083333333333334,0.034722222222222224,0.6389889121055603,0.03022618405520916
4,code,20474,0.8240740740740741,0.8645833333333334,0.5517241379310345,3.345871925354004,1.0,0.8888888888888888,6.263124942779541,2.9235239028930664
4,code,29364,0.8198784722222222,0.7395833333333333,0.4,1.5703003406524658,1.0,0.5625,1.7845087051391602,0.7794884443283081
4,code,842,0.8072916666666665,0.7734375,0.47619047619047616,2.7810254096984863,0.7916666666666666,0.2152777777777778,2.9755184650421143,0.6775578856468201
4,code,20557,0.8049768518518519,0.7864583333333333,0.5,0.5132092237472534,0.8333333333333334,0.2152777777777778,0.8019671440124512,0.22202549874782562
4,code,14731,0.7997685185185185,0.8723958333333334,0.45714285714285713,0.858819842338562,0.9583333333333334,0.4236111111111111,1.382489562034607,0.6176959276199341
4,code,18809,0.7991898148148148,0.9153645833333334,0.625,1.0927000045776367,0.6666666666666666,0.06944444444444445,1.941078543663025,0.20922645926475525
4,code,18513,0.7960069444444444,0.7864583333333334,0.631578947368421,1.3166978359222412,0.7916666666666666,0.4166666666666667,1.1745859384536743,0.39503997564315796
4,code,25941,0.7954282407407407,0.8072916666666666,0.47058823529411764,1.223557710647583,1.0,0.4305555555555556,3.552171468734741,1.4364420175552368
4,code,5088,0.7916666666666667,0.875,0.8571428571428571,0.8138328194618225,0.5833333333333334,0.0,0.955040454864502,0.0
4,factual_entities,8144,0.9249131944444444,0.9049479166666666,0.75,1.6006373167037964,0.875,0.0625,2.2270891666412354,0.0741896703839302
4,factual_entities,22020,0.888454861111111,0.9361979166666666,0.875,0.6328982710838318,0.7916666666666666,0.034722222222222224,1.0064629316329956,0.02380482293665409
4,factual_entities,21177,0.8794849537037038,0.8919270833333334,0.7,0.5331253409385681,0.8333333333333334,0.0763888888888889,1.0882896184921265,0.10577809065580368
4,factual_entities,17857,0.8579282407407408,0.8020833333333334,0.5454545454545454,1.707578420639038,0.75,0.10416666666666667,2.403292655944824,0.1424756646156311
4,factual_entities,7917,0.8561921296296295,0.7395833333333334,0.47619047619047616,0.9847875833511353,0.7916666666666666,0.09722222222222222,1.4776204824447632,0.13152804970741272
4,factual_entities,20439,0.8543113425925926,0.5091145833333333,0.17391304347826086,2.9984545707702637,0.875,0.3194444444444444,4.471306324005127,1.079331874847412
4,factual_entities,20474,0.8480902777777777,0.8203124999999999,0.2222222222222222,7.030472755432129,1.0,0.8888888888888888,7.055498123168945,2.791461229324341
4,factual_entities,14476,0.8425925925925927,0.8893229166666666,0.5333333333333333,1.2076637744903564,0.8333333333333334,0.1527777777777778,1.1911876201629639,0.21207401156425476
4,factual_entities,6974,0.8368055555555557,0.9505208333333333,0.7,0.8071160316467285,0.9583333333333334,0.3888888888888889,1.0143204927444458,0.358742892742157
4,factual_entities,23500,0.8288483796296298,0.8072916666666665,0.2857142857142857,2.5726747512817383,0.875,0.2638888888888889,2.958951234817505,0.774091362953186
4,factual_entities,14694,0.8216145833333333,0.77734375,0.625,0.9580107927322388,0.75,0.09027777777777778,5.866950988769531,0.8641757369041443
4,factual_entities,15267,0.8168402777777778,0.8229166666666666,0.47619047619047616,6.143719673156738,1.0,1.0,6.075092315673828,5.488575458526611
