task_id,concept,prompt,target_text,target_first_token,target_token_count,layer,feature_id,feature_train_auroc,feature_test_auroc,feature_test_f1,feature_activation,intervention,condition,control_id,random_control_count,delta_activation,perturbation_l2,execution_context_mean_logprob_drift,execution_context_js_drift,baseline_target_prob,modified_target_prob,target_prob_delta,target_logprob_delta,baseline_target_rank,modified_target_rank,target_rank_delta,baseline_target_sequence_logprob,modified_target_sequence_logprob,target_sequence_logprob_delta,baseline_target_mean_logprob,modified_target_mean_logprob,target_mean_logprob_delta,js_divergence,top1_changed,position_policy,intervention_token_index,intervention_token_text,final_token_index,final_token_text,max_prompt_feature_token_index,max_prompt_feature_token_text,final_token_feature_activation,max_prompt_feature_activation,feature_active_at_intervention,feature_active_at_final_token,feature_active_anywhere
0,positive_sentiment,Sentiment: The meal was wonderful and the staff were kind. Label:, positive, positive,1,14,29229,0.9716435185185186,0.9869791666666669,0.7777777777777778,0.0,ablate,sae_feature,-1,8,-0.0,0.0,0.0282411575317382,8.39379572425969e-06,0.0001807755470508,0.0001807755470508,0.0,0.0,678,678,0,-8.618254661560059,-8.618254661560059,0.0,-8.618254661560059,-8.618254661560059,0.0,0.0,0,final_token,-1,,-1,,-1,,0.0,,0,0,
0,positive_sentiment,Sentiment: The meal was wonderful and the staff were kind. Label:, positive, positive,1,14,29229,0.9716435185185186,0.9869791666666669,0.7777777777777778,0.0,ablate,random_norm_matched,0,8,,0.0,0.0282411575317382,8.39379572425969e-06,0.0001807755470508,0.0001807755470508,0.0,0.0,678,678,0,-8.618254661560059,-8.618254661560059,0.0,-8.618254661560059,-8.618254661560059,0.0,0.0,0,final_token,-1,,-1,,-1,,0.0,,0,0,
0,positive_sentiment,Sentiment: The meal was wonderful and the staff were kind. Label:, positive, positive,1,14,29229,0.9716435185185186,0.9869791666666669,0.7777777777777778,0.0,ablate,random_norm_matched,1,8,,0.0,0.0282411575317382,8.39379572425969e-06,0.0001807755470508,0.0001807755470508,0.0,0.0,678,678,0,-8.618254661560059,-8.618254661560059,0.0,-8.618254661560059,-8.618254661560059,0.0,0.0,0,final_token,-1,,-1,,-1,,0.0,,0,0,
0,positive_sentiment,Sentiment: The meal was wonderful and the staff were kind. Label:, positive, positive,1,14,29229,0.9716435185185186,0.9869791666666669,0.7777777777777778,0.0,ablate,random_norm_matched,2,8,,0.0,0.0282411575317382,8.39379572425969e-06,0.0001807755470508,0.0001807755470508,0.0,0.0,678,678,0,-8.618254661560059,-8.618254661560059,0.0,-8.618254661560059,-8.618254661560059,0.0,0.0,0,final_token,-1,,-1,,-1,,0.0,,0,0,
0,positive_sentiment,Sentiment: The meal was wonderful and the staff were kind. Label:, positive, positive,1,14,29229,0.9716435185185186,0.9869791666666669,0.7777777777777778,0.0,ablate,random_norm_matched,3,8,,0.0,0.0282411575317382,8.39379572425969e-06,0.0001807755470508,0.0001807755470508,0.0,0.0,678,678,0,-8.618254661560059,-8.618254661560059,0.0,-8.618254661560059,-8.618254661560059,0.0,0.0,0,final_token,-1,,-1,,-1,,0.0,,0,0,
0,positive_sentiment,Sentiment: The meal was wonderful and the staff were kind. Label:, positive, positive,1,14,29229,0.9716435185185186,0.9869791666666669,0.7777777777777778,0.0,ablate,random_norm_matched,4,8,,0.0,0.0282411575317382,8.39379572425969e-06,0.0001807755470508,0.0001807755470508,0.0,0.0,678,678,0,-8.618254661560059,-8.618254661560059,0.0,-8.618254661560059,-8.618254661560059,0.0,0.0,0,final_token,-1,,-1,,-1,,0.0,,0,0,
0,positive_sentiment,Sentiment: The meal was wonderful and the staff were kind. Label:, positive, positive,1,14,29229,0.9716435185185186,0.9869791666666669,0.7777777777777778,0.0,ablate,random_norm_matched,5,8,,0.0,0.0282411575317382,8.39379572425969e-06,0.0001807755470508,0.0001807755470508,0.0,0.0,678,678,0,-8.618254661560059,-8.618254661560059,0.0,-8.618254661560059,-8.618254661560059,0.0,0.0,0,final_token,-1,,-1,,-1,,0.0,,0,0,
0,positive_sentiment,Sentiment: The meal was wonderful and the staff were kind. Label:, positive, positive,1,14,29229,0.9716435185185186,0.9869791666666669,0.7777777777777778,0.0,ablate,random_norm_matched,6,8,,0.0,0.0282411575317382,8.39379572425969e-06,0.0001807755470508,0.0001807755470508,0.0,0.0,678,678,0,-8.618254661560059,-8.618254661560059,0.0,-8.618254661560059,-8.618254661560059,0.0,0.0,0,final_token,-1,,-1,,-1,,0.0,,0,0,
0,positive_sentiment,Sentiment: The meal was wonderful and the staff were kind. Label:, positive, positive,1,14,29229,0.9716435185185186,0.9869791666666669,0.7777777777777778,0.0,ablate,random_norm_matched,7,8,,0.0,0.0282411575317382,8.39379572425969e-06,0.0001807755470508,0.0001807755470508,0.0,0.0,678,678,0,-8.618254661560059,-8.618254661560059,0.0,-8.618254661560059,-8.618254661560059,0.0,0.0,0,final_token,-1,,-1,,-1,,0.0,,0,0,
0,positive_sentiment,Sentiment: The meal was wonderful and the staff were kind. Label:, positive, positive,1,14,29229,0.9716435185185186,0.9869791666666669,0.7777777777777778,0.0,amplify_2x,sae_feature,-1,8,0.0,0.0,0.0282411575317382,8.39379572425969e-06,0.0001807755470508,0.0001807755470508,0.0,0.0,678,678,0,-8.618254661560059,-8.618254661560059,0.0,-8.618254661560059,-8.618254661560059,0.0,0.0,0,final_token,-1,,-1,,-1,,0.0,,0,0,
