position_policy,tasks,feature_active_at_intervention_rate,feature_active_at_final_token_rate,feature_active_anywhere_rate,target_sae_abs_mean,target_random_abs_mean,target_specificity_ratio,target_paired_advantage,target_paired_ci_low,target_paired_ci_high,target_sign_flip_pvalue,active_target_sae_abs_mean,active_target_random_abs_mean,active_target_specificity_ratio,active_target_paired_advantage,active_target_paired_ci_low,active_target_paired_ci_high,active_target_sign_flip_pvalue,active_tasks,js_sae_mean,js_random_mean,js_specificity_ratio,active_js_specificity_ratio,concept
final_token,28,0.2857142857142857,0.2857142857142857,0.0,0.007574045897594507,0.004990028782880718,1.5178361142081527,0.002584017114713789,-0.0005554523851190289,0.006223834152167133,0.171875,0.026509160641580775,0.017465100740082513,1.5178361142081527,0.009044059901498262,-0.0016050470294430876,0.01996337937016506,0.171875,8,0.00033045503460015093,0.00020158068911410593,1.6393189052602897,1.63931890526029,__all__
final_token,4,0.5,0.5,0.0,0.03070369362831114,0.016958609223365763,1.8105077618043846,0.013745084404945379,0.0,0.030128069221973433,0.5,0.06140738725662228,0.033917218446731526,1.8105077618043846,0.027490168809890757,0.014809578657150269,0.040170758962631246,0.5,2,0.000468006153823775,0.0002624576891321125,1.7831680046081493,1.7831680046081493,code
final_token,4,0.25,0.25,0.0,0.002008568495512,0.0012214824091642939,1.6443695631165165,0.0007870860863477061,0.0,0.0023612582590431183,1.0,0.008034273982048,0.0048859296366571756,1.6443695631165165,0.0031483443453908244,0.0031483443453908244,0.0031483443453908244,1.0,1,1.8891484614869114e-05,8.156611613685527e-06,2.316094661559236,2.316094661559236,factual_entities
final_token,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0,0.0,0.0,0.0,,german_language
final_token,4,1.0,1.0,0.0,0.013766535557806436,0.01286024367436762,1.0704723725604977,0.0009062918834388161,-0.013581858249381188,0.010408063651993862,1.0,0.013766535557806436,0.01286024367436762,1.0704723725604977,0.0009062918834388161,-0.013581858249381188,0.010408063651993862,1.0,4,0.0017012150638037876,0.0010852779771539155,1.5675385473730286,1.5675385473730286,mathematics
final_token,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0,0.0,0.0,0.0,,negative_sentiment
final_token,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0,0.0,0.0,0.0,,positive_sentiment
final_token,4,0.25,0.25,0.0,0.006539523601531975,0.0038898661732673515,1.6811693025518675,0.002649657428264623,0.0,0.00794897228479387,1.0,0.0261580944061279,0.015559464693069406,1.6811693025518675,0.010598629713058492,0.010598629713058492,0.010598629713058492,1.0,1,0.000125072539958625,5.517254589902812e-05,2.2669343587573723,2.2669343587573723,uncertainty
max_feature_activation,28,0.8214285714285714,0.2857142857142857,0.8214285714285714,0.04140681956362508,0.01773720875956181,2.3344608571122225,0.023669610804063268,0.006155622166625111,0.04787022493006328,9.99950002499875e-05,0.05040830207745662,0.021593123707292633,2.334460857112223,0.028815178370163983,0.008065281513098975,0.05842191047641276,9.99950002499875e-05,23,0.0003503056863597102,0.00012276198071665368,2.853535633057673,2.8535356330576724,__all__
max_feature_activation,4,1.0,0.5,1.0,0.0017386823892592963,0.0020397175103425555,0.8524133270627743,-0.00030103512108325915,-0.0026935096830129476,0.0025318711996078617,0.75,0.0017386823892592963,0.0020397175103425555,0.8524133270627743,-0.00030103512108325915,-0.0026935096830129476,0.0025318711996078617,0.75,4,7.899344154793653e-06,5.354482187414078e-06,1.4752769508434211,1.4752769508434211,code
max_feature_activation,4,1.0,0.25,1.0,0.010054231388494334,0.007599377029691787,1.3230336314688824,0.0024548543588025474,-0.00026353719295001734,0.007209595802123662,0.5,0.010054231388494334,0.007599377029691787,1.3230336314688824,0.0024548543588025474,-0.00026353719295001734,0.007209595802123661,0.5,4,1.5267146636688267e-05,1.2116573988585344e-05,1.2600217397319557,1.2600217397319557,factual_entities
max_feature_activation,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0,0.0,0.0,0.0,,german_language
max_feature_activation,4,1.0,1.0,1.0,0.010522400029003563,0.004535389365628313,2.3200654190240257,0.005987010663375247,0.0016587544232606831,0.010408063651993862,0.25,0.010522400029003563,0.004535389365628313,2.3200654190240257,0.005987010663375247,0.0016587544232606831,0.010408063651993862,0.25,4,0.0008034180818867435,0.0003310765635262305,2.4266836448031768,2.4266836448031768,mathematics
max_feature_activation,4,1.0,0.0,1.0,0.08628357946872708,0.04091272130608554,2.1089670086524626,0.04537085816264153,0.010284267365932447,0.09931341186165814,0.125,0.08628357946872708,0.04091272130608554,2.1089670086524626,0.04537085816264153,0.010284267365932447,0.09931341186165814,0.125,4,0.0009591840007487634,0.00033541750718764655,2.8596718423888228,2.8596718423888228,negative_sentiment
max_feature_activation,4,1.0,0.0,1.0,0.09154844284057614,0.052779592573642675,1.7345424315816724,0.03876885026693346,0.007168605923652652,0.07036909461021426,0.125,0.09154844284057614,0.052779592573642675,1.7345424315816724,0.03876885026693346,0.007168605923652652,0.07036909461021426,0.125,4,0.0001696736740086238,9.280085743055595e-05,1.8283632145919853,1.8283632145919853,positive_sentiment
max_feature_activation,4,0.75,0.25,0.75,0.08970040082931516,0.016293663531541786,5.5052321815575915,0.07340673729777339,-0.000809632241725906,0.2134449183940888,0.5,0.11960053443908687,0.021724884708722383,5.505232181557591,0.09787564973036451,-0.001619264483451812,0.2845932245254517,0.5,3,0.0004966975570823587,8.256788069614337e-05,6.015626813896881,6.015626813896881,uncertainty
